ID Dist Azmth Dip
1   0.00000000   0.00000000  90.00000000
1 500.00000000   0.00000000  90.00000000
2   0.00000000 -10.00000000  90.00000000
2 500.00000000 -10.00000000  90.00000000
3   0.00000000 -20.00000000  90.00000000
3 500.00000000 -20.00000000  90.00000000
4   0.00000000 -30.00000000  90.00000000
4 500.00000000 -30.00000000  90.00000000
5   0.00000000 -40.00000000  90.00000000
5 500.00000000 -40.00000000  90.00000000
6   0.00000000 -50.00000000  90.00000000
6 500.00000000 -50.00000000  90.00000000
7   0.00000000 -60.00000000  90.00000000
7 500.00000000 -60.00000000  90.00000000
8   0.00000000 -70.00000000  90.00000000
8 500.00000000 -70.00000000  90.00000000
9   0.00000000 -80.00000000  90.00000000
9 500.00000000 -80.00000000  90.00000000
10   0.00000000 -90.00000000  90.00000000
10 500.00000000 -90.00000000  90.00000000
11   0.00000000 -100.00000000  90.00000000
11 500.00000000 -100.00000000  90.00000000
12   0.00000000 -110.00000000  90.00000000
12 500.00000000 -110.00000000  90.00000000
13   0.00000000 -120.00000000  90.00000000
13 500.00000000 -120.00000000  90.00000000
14   0.00000000 -130.00000000  90.00000000
14 500.00000000 -130.00000000  90.00000000
15   0.00000000 -140.00000000  90.00000000
15 500.00000000 -140.00000000  90.00000000
16   0.00000000 -150.00000000  90.00000000
16 500.00000000 -150.00000000  90.00000000
17   0.00000000 -160.00000000  90.00000000
17 500.00000000 -160.00000000  90.00000000
18   0.00000000 -170.00000000  90.00000000
18 500.00000000 -170.00000000  90.00000000
19   0.00000000 -180.00000000  90.00000000
19 500.00000000 -180.00000000  90.00000000
20   0.00000000  10.00000000  90.00000000
20 500.00000000  10.00000000  90.00000000
21   0.00000000  20.00000000  90.00000000
21 500.00000000  20.00000000  90.00000000
22   0.00000000  30.00000000  90.00000000
22 500.00000000  30.00000000  90.00000000
23   0.00000000  40.00000000  90.00000000
23 500.00000000  40.00000000  90.00000000
24   0.00000000  50.00000000  90.00000000
24 500.00000000  50.00000000  90.00000000
25   0.00000000  60.00000000  90.00000000
25 500.00000000  60.00000000  90.00000000
26   0.00000000  70.00000000  90.00000000
26 500.00000000  70.00000000  90.00000000
27   0.00000000  80.00000000  90.00000000
27 500.00000000  80.00000000  90.00000000
28   0.00000000  90.00000000  90.00000000
28 500.00000000  90.00000000  90.00000000
29   0.00000000 100.00000000  90.00000000
29 500.00000000 100.00000000  90.00000000
30   0.00000000 110.00000000  90.00000000
30 500.00000000 110.00000000  90.00000000
31   0.00000000 120.00000000  90.00000000
31 500.00000000 120.00000000  90.00000000
32   0.00000000 130.00000000  90.00000000
32 500.00000000 130.00000000  90.00000000
33   0.00000000 140.00000000  90.00000000
33 500.00000000 140.00000000  90.00000000
34   0.00000000 150.00000000  90.00000000
34 500.00000000 150.00000000  90.00000000
35   0.00000000 160.00000000  90.00000000
35 500.00000000 160.00000000  90.00000000
36   0.00000000 170.00000000  90.00000000
36 500.00000000 170.00000000  90.00000000
37   0.00000000   0.00000000  80.00000000
37 500.00000000   0.00000000  80.00000000
38   0.00000000 -10.00000000  80.00000000
38 500.00000000 -10.00000000  80.00000000
39   0.00000000 -20.00000000  80.00000000
39 500.00000000 -20.00000000  80.00000000
40   0.00000000 -30.00000000  80.00000000
40 500.00000000 -30.00000000  80.00000000
41   0.00000000 -40.00000000  80.00000000
41 500.00000000 -40.00000000  80.00000000
