ID X Y Z Length
1 230.00000000 310.00000000  70.00000000 500.00000000
2 230.00000000 310.00000000  70.00000000 500.00000000
3 230.00000000 310.00000000  70.00000000 500.00000000
4 230.00000000 310.00000000  70.00000000 500.00000000
5 230.00000000 310.00000000  70.00000000 500.00000000
6 230.00000000 310.00000000  70.00000000 500.00000000
7 230.00000000 310.00000000  70.00000000 500.00000000
8 230.00000000 310.00000000  70.00000000 500.00000000
9 230.00000000 310.00000000  70.00000000 500.00000000
10 230.00000000 310.00000000  70.00000000 500.00000000
11 230.00000000 310.00000000  70.00000000 500.00000000
12 230.00000000 310.00000000  70.00000000 500.00000000
13 230.00000000 310.00000000  70.00000000 500.00000000
14 230.00000000 310.00000000  70.00000000 500.00000000
15 230.00000000 310.00000000  70.00000000 500.00000000
16 230.00000000 310.00000000  70.00000000 500.00000000
17 230.00000000 310.00000000  70.00000000 500.00000000
18 230.00000000 310.00000000  70.00000000 500.00000000
19 230.00000000 310.00000000  70.00000000 500.00000000
20 230.00000000 310.00000000  70.00000000 500.00000000
21 230.00000000 310.00000000  70.00000000 500.00000000
22 230.00000000 310.00000000  70.00000000 500.00000000
23 230.00000000 310.00000000  70.00000000 500.00000000
24 230.00000000 310.00000000  70.00000000 500.00000000
25 230.00000000 310.00000000  70.00000000 500.00000000
26 230.00000000 310.00000000  70.00000000 500.00000000
27 230.00000000 310.00000000  70.00000000 500.00000000
28 230.00000000 310.00000000  70.00000000 500.00000000
29 230.00000000 310.00000000  70.00000000 500.00000000
30 230.00000000 310.00000000  70.00000000 500.00000000
31 230.00000000 310.00000000  70.00000000 500.00000000
32 230.00000000 310.00000000  70.00000000 500.00000000
33 230.00000000 310.00000000  70.00000000 500.00000000
34 230.00000000 310.00000000  70.00000000 500.00000000
35 230.00000000 310.00000000  70.00000000 500.00000000
36 230.00000000 310.00000000  70.00000000 500.00000000
37 230.00000000 310.00000000  70.00000000 500.00000000
38 230.00000000 310.00000000  70.00000000 500.00000000
39 230.00000000 310.00000000  70.00000000 500.00000000
40 230.00000000 310.00000000  70.00000000 500.00000000
41 230.00000000 310.00000000  70.00000000 500.00000000
42 230.00000000 310.00000000  70.00000000 500.00000000
43 230.00000000 310.00000000  70.00000000 500.00000000
44 230.00000000 310.00000000  70.00000000 500.00000000
45 230.00000000 310.00000000  70.00000000 500.00000000
46 230.00000000 310.00000000  70.00000000 500.00000000
47 230.00000000 310.00000000  70.00000000 500.00000000
48 230.00000000 310.00000000  70.00000000 500.00000000
49 230.00000000 310.00000000  70.00000000 500.00000000
50 230.00000000 310.00000000  70.00000000 500.00000000
51 230.00000000 310.00000000  70.00000000 500.00000000
52 230.00000000 310.00000000  70.00000000 500.00000000
53 230.00000000 310.00000000  70.00000000 500.00000000
54 230.00000000 310.00000000  70.00000000 500.00000000
55 230.00000000 310.00000000  70.00000000 500.00000000
56 230.00000000 310.00000000  70.00000000 500.00000000
57 230.00000000 310.00000000  70.00000000 500.00000000
58 230.00000000 310.00000000  70.00000000 500.00000000
59 230.00000000 310.00000000  70.00000000 500.00000000
60 230.00000000 310.00000000  70.00000000 500.00000000
61 230.00000000 310.00000000  70.00000000 500.00000000
62 230.00000000 310.00000000  70.00000000 500.00000000
63 230.00000000 310.00000000  70.00000000 500.00000000
64 230.00000000 310.00000000  70.00000000 500.00000000
65 230.00000000 310.00000000  70.00000000 500.00000000
66 230.00000000 310.00000000  70.00000000 500.00000000
67 230.00000000 310.00000000  70.00000000 500.00000000
68 230.00000000 310.00000000  70.00000000 500.00000000
69 230.00000000 310.00000000  70.00000000 500.00000000
70 230.00000000 310.00000000  70.00000000 500.00000000
71 230.00000000 310.00000000  70.00000000 500.00000000
72 230.00000000 310.00000000  70.00000000 500.00000000
73 230.00000000 310.00000000  70.00000000 500.00000000
74 230.00000000 310.00000000  70.00000000 500.00000000
75 230.00000000 310.00000000  70.00000000 500.00000000
76 230.00000000 310.00000000  70.00000000 500.00000000
77 230.00000000 310.00000000  70.00000000 500.00000000
78 230.00000000 310.00000000  70.00000000 500.00000000
79 230.00000000 310.00000000  70.00000000 500.00000000
80 230.00000000 310.00000000  70.00000000 500.00000000
81 230.00000000 310.00000000  70.00000000 500.00000000
82 230.00000000 310.00000000  70.00000000 500.00000000
83 230.00000000 310.00000000  70.00000000 500.00000000
84 230.00000000 310.00000000  70.00000000 500.00000000
85 230.00000000 310.00000000  70.00000000 500.00000000
86 230.00000000 310.00000000  70.00000000 500.00000000
87 230.00000000 310.00000000  70.00000000 500.00000000
88 230.00000000 310.00000000  70.00000000 500.00000000
89 230.00000000 310.00000000  70.00000000 500.00000000
90 230.00000000 310.00000000  70.00000000 500.00000000
91 230.00000000 310.00000000  70.00000000 500.00000000
92 230.00000000 310.00000000  70.00000000 500.00000000
93 230.00000000 310.00000000  70.00000000 500.00000000
94 230.00000000 310.00000000  70.00000000 500.00000000
95 230.00000000 310.00000000  70.00000000 500.00000000
96 230.00000000 310.00000000  70.00000000 500.00000000
97 230.00000000 310.00000000  70.00000000 500.00000000
98 230.00000000 310.00000000  70.00000000 500.00000000
99 230.00000000 310.00000000  70.00000000 500.00000000
100 230.00000000 310.00000000  70.00000000 500.00000000
101 230.00000000 310.00000000  70.00000000 500.00000000
102 230.00000000 310.00000000  70.00000000 500.00000000
103 230.00000000 310.00000000  70.00000000 500.00000000
104 230.00000000 310.00000000  70.00000000 500.00000000
105 230.00000000 310.00000000  70.00000000 500.00000000
106 230.00000000 310.00000000  70.00000000 500.00000000
107 230.00000000 310.00000000  70.00000000 500.00000000
108 230.00000000 310.00000000  70.00000000 500.00000000
109 230.00000000 270.00000000  70.00000000 500.00000000
110 230.00000000 270.00000000  70.00000000 500.00000000
111 230.00000000 270.00000000  70.00000000 500.00000000
112 230.00000000 270.00000000  70.00000000 500.00000000
113 230.00000000 270.00000000  70.00000000 500.00000000
114 230.00000000 270.00000000  70.00000000 500.00000000
115 230.00000000 270.00000000  70.00000000 500.00000000
116 230.00000000 270.00000000  70.00000000 500.00000000
117 230.00000000 270.00000000  70.00000000 500.00000000
118 230.00000000 270.00000000  70.00000000 500.00000000
119 230.00000000 270.00000000  70.00000000 500.00000000
120 230.00000000 270.00000000  70.00000000 500.00000000
121 230.00000000 270.00000000  70.00000000 500.00000000
122 230.00000000 270.00000000  70.00000000 500.00000000
123 230.00000000 270.00000000  70.00000000 500.00000000
124 230.00000000 270.00000000  70.00000000 500.00000000
125 230.00000000 270.00000000  70.00000000 500.00000000
126 230.00000000 270.00000000  70.00000000 500.00000000
127 230.00000000 270.00000000  70.00000000 500.00000000
128 230.00000000 270.00000000  70.00000000 500.00000000
129 230.00000000 270.00000000  70.00000000 500.00000000
130 230.00000000 270.00000000  70.00000000 500.00000000
131 230.00000000 270.00000000  70.00000000 500.00000000
